id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mode,duration_ms
1kPpge9JDLpcj15qgrPbYX,0.56,0.872,3,-4.269,0.14,0.0239,6.98e-06,0.371,0.682,126.05,4,1,205933
2mDayytAT6lXBYVDWpjhpR,0.697,0.822,9,-6.455,0.0307,0.287,1.37e-05,0.077,0.701,103.978,4,1,317425
3swc6WTsr7rl9DqQKQA55C,0.75,0.56,8,-8.094,0.105,0.546,0.0,0.111,0.459,140.06,4,1,221440
62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,11,-7.567,0.0892,0.0686,0.00188,0.393,0.33,112.05,4,0,176547
3KkXRkHbMCARz0aVfEt68P,0.76,0.479,2,-5.574,0.0466,0.556,0.0,0.0703,0.913,89.911,4,1,158040
1LuQWAyEshhEA24XRaadeo,0.636,0.607,0,-8.08,0.0321,0.658,0.0168,0.145,0.229,119.837,4,1,264438
6GbzvtKkiIeiYUHdelmflv,0.746,0.793,0,-5.725,0.0265,0.0519,0.0,0.421,0.656,127.973,4,1,289493
7IhfjcaXuXCq20ZiAA7igK,0.521,0.746,6,-6.173,0.0351,0.00985,0.0,0.0741,0.473,149.977,4,1,205960
1zB4vmk8tFRmM9UULNzbLB,0.605,0.822,0,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,4,1,187147
2iUXsYOEPhVqEBwsqP70rE,0.596,0.854,7,-5.114,0.463,0.0169,0.0,0.124,0.152,120.274,4,0,203418
0AkQbXGN4KG34TS7xLrM68,0.63,0.934,4,-2.559,0.0589,0.0186,0.0,0.324,0.905,89.992,4,1,182960
7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10,-4.343,0.0564,0.0654,0.0,0.123,0.629,84.786,4,1,202533
0b18g3G5spr4ZCkz7Y6Q0Q,0.758,0.913,6,-2.926,0.113,0.00364,6.92e-05,0.193,0.658,128.04,4,0,186210
2hTn8oS49IQULxAWs7hEBz,0.817,0.715,9,-5.13,0.0484,0.183,0.0,0.214,0.398,100.002,4,1,177695
35QZaWQRkmnAVqBF1TLCxQ,0.68,0.852,7,-4.35,0.0349,0.117,0.0,0.0866,0.858,101.993,4,1,179787
7e89621JPkKaeDSTQ3avtg,0.596,0.605,7,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,4,1,283800
4cluDES4hQEUhmXj6TXkSo,0.726,0.787,4,-2.494,0.0737,0.009,0.0,0.0596,0.888,124.99,4,1,199987
2iJuuzV8P9Yz0VSurttIV5,0.772,0.685,5,-6.849,0.0696,0.019,8.96e-05,0.131,0.501,130.033,4,1,283400
3zkWCteF82vJwv0hRLba76,0.746,0.754,1,-6.684,0.0676,0.0152,0.0,0.0486,0.746,149.882,4,1,206880
2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0,-5.672,0.0369,0.109,0.0,0.0657,0.595,138.113,4,0,192120
0SVcJLJNodEX45hd0yEEIf,0.775,0.56,7,-9.459,0.0885,0.0526,0.821,0.11,0.133,142.015,4,1,211268
21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,4,1,215280
5X5db3FrBOHbibrFKA02MQ,0.756,0.52,6,-8.642,0.0341,0.495,0.0,0.0901,0.684,119.92,4,1,265995
4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,0.0287,0.778,5.62e-05,0.11,0.152,75.602,4,1,285634
5ZsAhuQ24mWHiduaxJqnhW,0.595,0.817,11,-6.187,0.0474,0.000712,0.0386,0.142,0.483,144.961,4,0,180414
5qaEfEh1AtSdrdrByCP7qR,0.505,0.71,3,-3.015,0.0321,0.19,0.00025,0.269,0.428,89.938,4,1,177507
6KJqZcs9XDgVck7Lg9QOTC,0.596,0.488,4,-10.769,0.0274,0.9,2.7e-05,0.091,0.415,94.926,4,1,208907
6m0uNvHh5zG9FJmbxVxD1N,0.461,0.5,1,-9.828,0.0614,0.00245,0.03,0.116,0.572,76.176,4,1,184371
